
============================================================
  TCC - Pipeline de Dados Publicos | ABATIA
============================================================
 Modo: Somente Etapa 1 - Crawler

Nenhum checkpoint encontrado — iniciando do zero.
  Reprocessar erros: nenhum erro no log — nada a re-enfileirar.

============================================================
  Crawler iniciado: ABATIA
  Páginas já visitadas (checkpoint): 0
  URLs na fila: 1
  Reprocessar erros: ATIVADO
============================================================

  Modo: SEM LIMITE de páginas
  [1/sem limite] fila=0 | depth=0 | http://abatia.pr.gov.br/
  [47/sem limite] fila=101 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368vfb0&id=1479074&id_secre
  [48/sem limite] fila=100 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368vfb0&id=1478603&id_secre
  [49/sem limite] fila=99 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368n5b0&id_secretaria=2929
  [50/sem limite] fila=165 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368xwb0&id=3122
  [51/sem limite] fila=164 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368vfb0&id=1478056&id_secre
  [52/sem limite] fila=163 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368vfb0&id=1478053&id_secre
  [53/sem limite] fila=162 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368vfb0&id=1466135&id_secre
  [54/sem limite] fila=161 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368vfb0&id=1455583&id_secre
  [55/sem limite] fila=160 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368vfb0&id=1454311&id_secre
  [56/sem limite] fila=159 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368vfb0&id=1454192&id_secre
  [57/sem limite] fila=158 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368n5b0&id_secretaria=3122
  [58/sem limite] fila=225 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368xwb0&id=2668
  [59/sem limite] fila=224 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368vfb0&id=1480885&id_secre
  [60/sem limite] fila=223 | depth=2 | http://www.abatia.pr.gov.br//index.php?sessao=b054603368vfb0&id=1479930&id_secre
